DEBUG 2024-01-05 03:33:19,560 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\asyncio\log.py first seen with mtime 1582660836.0
DEBUG 2024-01-05 03:33:19,561 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\redis\_parsers\resp2.py first seen with mtime 1697037045.4627552
DEBUG 2024-01-05 03:33:19,563 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\pkg_resources\_vendor\packaging\_musllinux.py first seen with mtime 1687423341.3656974
DEBUG 2024-01-05 03:33:19,564 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\phonenumbers\data\alt_format_95.py first seen with mtime 1697438856.5552118
DEBUG 2024-01-05 03:33:19,566 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\PIL\_util.py first seen with mtime 1676948805.440465
DEBUG 2024-01-05 03:33:19,567 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\DLLs\unicodedata.pyd first seen with mtime 1582660856.0
DEBUG 2024-01-05 03:33:19,568 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\email\encoders.py first seen with mtime 1582660836.0
DEBUG 2024-01-05 03:33:19,570 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\ua_parser\_regexes.py first seen with mtime 1697348996.4861379
DEBUG 2024-01-05 03:33:19,570 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\xml\dom\minicompat.py first seen with mtime 1582660836.0
DEBUG 2024-01-05 03:33:19,571 autoreload File C:\Users\User\Documents\Work\Ramin\floramedtour\communication\apps.py first seen with mtime 1690825624.5577202
DEBUG 2024-01-05 03:33:19,573 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1694731114.4399383
DEBUG 2024-01-05 03:33:19,574 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1698333426.7220585
DEBUG 2024-01-05 03:33:19,576 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1674878046.584224
DEBUG 2024-01-05 03:33:19,577 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\platform.py first seen with mtime 1582660836.0
DEBUG 2024-01-05 03:33:19,578 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\uuid.py first seen with mtime 1582660836.0
DEBUG 2024-01-05 03:33:19,580 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\requests\packages.py first seen with mtime 1674878048.830224
DEBUG 2024-01-05 03:33:19,582 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\contrib\socks.py first seen with mtime 1674878046.538224
DEBUG 2024-01-05 03:33:19,583 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\util\url.py first seen with mtime 1674878046.590224
